Incident Date,Incident Type Code,Incident Type,Apparatus Name,Priority,District Name,Station,City,Shift
2023-01-01 21:14:57-06:00,150,"Outside rubbish fire, other",SLL2,Emergent,S203,Sugar Land Fire Station 2,SUGAR LAND,B Shift
2023-01-04 13:46:32-06:00,111,Building fire,SLOPS1,Emergent,STAFFORD,Sugar Land Fire Station 2,HOUSTON,A Shift
2023-01-04 13:46:32-06:00,111,Building fire,SLB1,Emergent,STAFFORD,Sugar Land Fire Station 2,HOUSTON,A Shift
2023-01-04 13:46:32-06:00,111,Building fire,SLL2,Emergent,STAFFORD,Sugar Land Fire Station 2,HOUSTON,A Shift
2023-01-04 21:53:22-06:00,151,"Outside rubbish, trash or waste fire",SLL2,Non-Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,A Shift
2023-01-04 15:13:58-06:00,113,"Cooking fire, confined to container",SLE3,Emergent,S3S1,Sugar Land Fire Station 3,SUGAR LAND,A Shift
2023-01-06 14:34:37-06:00,142,Brush or brush-and-grass mixture fire,SLE1,Emergent,S702,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-07 19:00:02-06:00,142,Brush or brush-and-grass mixture fire,SLE3,Non-Emergent,S302,Sugar Land Fire Station 3,SUGAR LAND,B Shift
2023-01-07 15:32:58-06:00,151,"Outside rubbish, trash or waste fire",SLL4,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-07 15:32:58-06:00,151,"Outside rubbish, trash or waste fire",SLB1,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-07 15:32:58-06:00,151,"Outside rubbish, trash or waste fire",SLE1,Emergent,S103,Sugar Land Fire Station 1,SUGAR LAND,B Shift
2023-01-10 12:34:36-06:00,141,"Forest, woods or wildland fire",SLE3,Non-Emergent,S3S2,Sugar Land Fire Station 3,SUGAR LAND,A Shift
2023-01-13 15:58:40-06:00,143,Grass fire,SLE6,Emergent,S601,Sugar Land Fire Station 6,SUGAR LAND,B Shift
2023-01-15 19:22:44-06:00,116,"Fuel burner/boiler malfunction, fire confined",SLE5,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
2023-01-15 19:22:44-06:00,116,"Fuel burner/boiler malfunction, fire confined",SLE6,Emergent,S201,Sugar Land Fire Station 2,SUGAR LAND,C Shift
